section,code,indicator,yes_bar,n_lessons,n_cells,na_rate,pooled_p_yes,ac1,kripp_alpha,pairwise_agreement,ac1_dedup,mean_flip_rate,n_lessons_flipped,pct_lessons_flipped,n_disagreements,n_verdicts,p_unstable,lesson_yes_sd,lesson_yes_min,lesson_yes_max,n_lessons_yes,n_lessons_no,chi2_discrimination,p_discriminates,mean_confidence,conf_when_yes,conf_when_no,votes_needed,q_unstable,q_discriminates,reliable,discriminates,verdict_class
D,D3,Student-to-Student Interaction,Students discuss content in pairs/groups; academic language used.,10,96,0.04,0.25,0.8950461796809404,0.8167438271604939,0.9333333333333332,0.8828353837141183,0.04,2,0.2,4,96,0.7127694156159957,0.4115013163202924,0.0,1.0,2,8,79.99999999999999,1.6161314156534711e-13,0.703125,0.5629166666666667,0.7498611111111111,1.0,1.0,3.555489114437636e-12,True,True,HEALTHY
D,D4,Student Confidence & Risk-Taking,Students attempt challenging tasks; some comfortable with mistakes.,10,96,0.04,0.5208333333333334,0.6908673379261614,0.678743961352657,0.8444444444444444,0.6663247863247862,0.1,4,0.4,10,96,0.0219276426041018,0.4452215428550399,0.0,1.0,6,4,67.9513043478261,3.8343632597710826e-11,0.665625,0.6292,0.7052173913043478,3.0,0.6797569207271561,6.901853867587947e-10,True,True,HEALTHY
D,D5,On-Task Behavior During Independent Work,Students sustain focus for most of independent work time.,10,96,0.04,0.4166666666666667,0.6048788867892115,0.5947420634920635,0.7955555555555556,0.7400000000000001,0.1266666666666666,5,0.5,12,96,0.0030515501341084,0.4087922591134904,0.0,1.0,5,5,60.89142857142856,9.023900977797523e-10,0.6445833333333333,0.5745000000000001,0.6946428571428572,3.0,0.1037527045596867,1.2633461368916534e-08,True,True,HEALTHY
D,D6,Student Use of Learning Materials,Students actively use materials to solve problems or practice.,10,96,0.04,0.6041666666666666,0.7165435492183473,0.7298850574712643,0.8533333333333333,0.7682758620689655,0.0933333333333333,4,0.4,8,96,0.1078859403759655,0.4435546648844319,0.0,1.0,6,4,72.86243194192377,4.1705093906453904e-12,0.6640625,0.6610344827586208,0.6686842105263158,3.0,1.0,7.92396784222624e-11,True,True,HEALTHY
D,D7,Inclusivity of Engagement,Students across ability levels and genders are participating.,10,96,0.04,0.7916666666666666,0.7156460785610369,0.4444444444444444,0.8088888888888889,0.6600629104354064,0.1066666666666666,6,0.6,10,96,0.0219276426041018,0.2963981306483761,0.0,1.0,9,1,47.89894736842105,2.667547805285611e-07,0.6284375,0.6363157894736842,0.5985,3.0,0.6797569207271561,1.3337739026428055e-06,True,True,HEALTHY
F,F1,Content Accuracy,Content is accurate; no errors observed.,10,96,0.04,0.1666666666666666,0.927060539752006,0.8020833333333334,0.9466666666666668,0.9019607843137256,0.04,1,0.1,4,96,0.7127694156159957,0.3502380143083652,0.0,1.0,2,8,78.72,2.9010023488310234e-13,0.6701041666666666,0.5862499999999999,0.6868749999999999,1.0,1.0,6.092104932545148e-12,True,True,HEALTHY
F,F2,Use of Academic Language,Key terms used accurately and explained to students.,10,96,0.04,0.7291666666666666,0.7760439242883976,0.6404151404151405,0.8622222222222222,0.6931452610739915,0.1,3,0.3,10,96,0.0219276426041018,0.3806427312965386,0.0,1.0,7,2,64.60483516483515,1.721952389654097e-10,0.6152083333333334,0.6085714285714285,0.6330769230769231,3.0,0.6797569207271561,2.755123823446555e-09,True,True,HEALTHY
F,F3,Anticipation of Student Misconceptions,Anticipates and addresses at least 1-2 common misconceptions.,10,96,0.04,0.2083333333333333,0.8104575163398694,0.5972222222222222,0.8711111111111112,0.8611111111111113,0.1,3,0.3,10,96,0.0219276426041018,0.3366501646120693,0.0,1.0,1,8,60.83368421052632,9.258502902181123e-10,0.6742708333333333,0.6619999999999999,0.6775,3.0,0.6797569207271561,1.2633461368916534e-08,True,True,HEALTHY
F,F4,Depth of Explanation,Explains the 'why' behind procedures; uses multiple representations.,10,96,0.04,0.1875,0.9432463110102156,0.8646723646723646,0.96,0.9232245681381956,0.0199999999999999,2,0.2,2,96,0.9560042883365546,0.3794733192202055,0.0,0.9,2,8,84.18461538461538,2.3732523218036112e-14,0.7294791666666667,0.6072222222222222,0.7576923076923077,1.0,1.0,5.695805572328668e-13,True,True,HEALTHY
F,F5,Subject-Specific Pedagogy: MATH,Uses concrete -> pictorial -> abstract (CPA) progression; manipulatives present.,3,30,0.7,0.6666666666666666,1.0,1.0,1.0,1.0,0.0,0,0.0,0,30,1.0,0.5773502691896258,0.0,1.0,2,1,30.0,3.05902320501826e-07,0.7536666666666666,0.6900000000000002,0.8809999999999999,1.0,1.0,1.3337739026428055e-06,True,True,HEALTHY
F,F6,Subject-Specific Pedagogy: SCIENCE,Hands-on activities present; students make predictions and observations.,0,0,1.0,,,,,,,0,,0,0,,0.0,,,0,0,,,,,,,,,True,False,UNTESTED
F,F7,Subject-Specific Pedagogy: LITERACY / LANGUAGE,"Teacher models reading strategies (prediction, summarizing, questioning). Balanced approach.",7,66,0.34,0.2424242424242424,0.8430713184811546,0.7111111111111111,0.8984126984126984,0.9027473863360076,0.0571428571428571,2,0.2857142857142857,4,66,0.4213382742706825,0.3903600291794132,0.0,0.8,2,5,48.576,9.064277584238433e-09,0.6883333333333334,0.578125,0.7235999999999998,3.0,1.0,8.15784982581459e-08,True,True,HEALTHY
F,F8,Cross-Curricular Connections,Meaningful connections made to at least one other subject area.,10,96,0.04,0.0104166666666666,0.97959600081616,0.0,0.98,0.974367190003204,0.0099999999999999,1,0.1,1,96,0.9927311432903873,0.0316227766016837,0.0,0.1,0,10,8.690526315789473,0.4663176900886782,0.8127083333333331,0.54,0.8155789473684211,1.0,1.0,0.9326353801773564,True,False,UNINFORMATIVE
