section,code,indicator,pooled_p_yes_14,ac1_14,mean_flip_rate_14,n_lessons_flipped_14,verdict_class_14,pooled_p_yes_bin,ac1_bin,mean_flip_rate_bin,n_lessons_flipped_bin,verdict_class_bin,ac1_delta,flip_delta,class_changed,yes_bar,n_lessons,n_lessons_yes,n_lessons_no,pooled_p_yes,conf_when_yes,conf_when_no,na_rate,within_sd,grand_mean,signal_to_noise,flip_avg,ac1_worst,transcription_sensitive,category
D,D2,Cognitive Engagement Level (Bloom's),0.26,0.8771853778355728,0.06,2,HEALTHY,0.3541666666666667,0.9004149377593361,0.0333333333333333,1,HEALTHY,0.0232295599237633,-0.0266666666666666,False,Students applying concepts to new problems (Bloom's Apply/Analyze).,10,4,6,0.3541666666666667,0.6276470588235294,0.8604838709677419,0.04,0.1686548085423135,1.9,4.819405267426306,0.04666666666666665,0.8771853778355728,False,ok
D,D3,Student-to-Student Interaction,0.05,0.9386126457949662,0.05,1,HEALTHY,0.25,0.8950461796809404,0.04,2,HEALTHY,-0.0435664661140258,-0.01,False,Students discuss content in pairs/groups; academic language used.,10,2,8,0.25,0.5629166666666667,0.7498611111111111,0.04,0.1981478857039158,1.83,2.0430488008526404,0.045,0.8950461796809404,False,ok
D,D1,Active Participation Rate,0.86,0.8946259220231825,0.0399999999999999,4,HEALTHY,0.90625,0.9016715830875122,0.05,2,HEALTHY,0.0070456610643296,0.01,False,"50-75% actively participating (writing, discussing, solving).",10,9,1,0.90625,0.6622988505747127,0.5933333333333333,0.04,0.1264911064067351,2.8600000000000003,2.7037507017369142,0.04499999999999995,0.8946259220231825,False,ok
B,B3,Activities & Tasks Alignment,0.81,0.8812160904041862,0.05,2,HEALTHY,0.8229166666666666,0.9349865329246771,0.03,1,HEALTHY,0.053770442520491,-0.0199999999999999,False,Most activities directly support the learning objective.,10,8,2,0.8229166666666666,0.7768354430379747,0.741764705882353,0.04,0.0904682912895431,2.81,4.371813752196531,0.04,0.8812160904041862,False,ok
F,F1,Content Accuracy,0.04,0.9422299248989022,0.04,1,HEALTHY,0.1666666666666666,0.927060539752006,0.04,1,HEALTHY,-0.0151693851468963,0.0,False,Content is accurate; no errors observed.,10,2,8,0.1666666666666666,0.5862499999999999,0.6868749999999999,0.04,0.0938034800850106,1.96,3.5586012785026004,0.04,0.927060539752006,False,ok
C,C9,Collaborative Learning,0.09,0.9335618804645353,0.0299999999999999,2,HEALTHY,0.0833333333333333,0.9218261413383364,0.04,2,HEALTHY,-0.0117357391261987,0.01,False,Purposeful pair/group tasks with clear roles. Students work towards synthesized solutions.,10,1,9,0.0833333333333333,0.6112500000000001,0.7573863636363636,0.04,0.0737864787372621,1.89,8.062201245397114,0.03499999999999995,0.9218261413383364,False,ok
B,B1,Instructional Clarity & Learning Objectives,0.46,0.8675145733969264,0.04,2,HEALTHY,0.4895833333333333,0.9600159936025592,0.0099999999999999,1,HEALTHY,0.0925014202056327,-0.03,False,"Clear objective stated, referred to during lesson, linked to classroom activities.",10,5,5,0.4895833333333333,0.7127659574468085,0.8442857142857144,0.04,0.1537138444929107,2.0900000000000003,5.998964570285843,0.02499999999999995,0.8675145733969264,False,ok
F,F4,Depth of Explanation,0.17,0.9226030153865205,0.0299999999999999,2,HEALTHY,0.1875,0.9432463110102156,0.0199999999999999,2,HEALTHY,0.0206432956236951,-0.0099999999999999,False,Explains the 'why' behind procedures; uses multiple representations.,10,2,8,0.1875,0.6072222222222222,0.7576923076923077,0.04,0.1054092553389459,2.06,5.572252686302011,0.024999999999999897,0.9226030153865205,False,ok
C,C2,Responsive Re-explanation & Adaptive Teaching,0.17,0.9349865329246771,0.03,1,HEALTHY,0.1145833333333333,0.9751305645361852,0.0099999999999999,1,HEALTHY,0.0401440316115079,-0.02,False,"Uses alternative representations (visual, concrete, analogy). Adjusts teaching to student level.",10,1,9,0.1145833333333333,0.6918181818181818,0.7376470588235294,0.04,0.099944367103397,2.03,6.14315935240336,0.01999999999999995,0.9349865329246771,False,ok
B,B5,Meaningful & Real-World Connections,0.5,1.0,0.0,0,HEALTHY,0.5208333333333334,1.0,0.0,0,HEALTHY,0.0,0.0,False,Content connected to students' lives or local context.,10,5,5,0.5208333333333334,0.7903999999999999,0.8006521739130434,0.04,0.219229736771705,2.15,4.54336754695796,0.0,1.0,False,ok
F,F5,Subject-Specific Pedagogy: MATH,0.6666666666666666,1.0,0.0,0,HEALTHY,0.6666666666666666,1.0,0.0,0,HEALTHY,0.0,0.0,False,Uses concrete -> pictorial -> abstract (CPA) progression; manipulatives present.,3,2,1,0.6666666666666666,0.6900000000000002,0.8809999999999999,0.7,0.0,2.333333333333333,,0.0,1.0,False,ok
