section,code,indicator,pooled_p_yes_14,ac1_14,mean_flip_rate_14,n_lessons_flipped_14,verdict_class_14,pooled_p_yes_bin,ac1_bin,mean_flip_rate_bin,n_lessons_flipped_bin,verdict_class_bin,ac1_delta,flip_delta,class_changed
C,C10,Integration of Taleemabad Technology,0.0,1.0,0.0,0,UNINFORMATIVE,0.0,1.0,0.0,0,UNINFORMATIVE,0.0,0.0,False
C,C11,Self & Peer Assessment Facilitation,0.0,1.0,0.0,0,UNINFORMATIVE,0.0,1.0,0.0,0,UNINFORMATIVE,0.0,0.0,False
C,C12,Classroom Resources & Space for Collaboration,0.0,1.0,0.0,0,UNINFORMATIVE,0.0,1.0,0.0,0,UNINFORMATIVE,0.0,0.0,False
D,D1,Active Participation Rate,0.8585858585858586,0.8562717344188457,0.0611111111111111,4,HEALTHY,0.9,1.0,0.0,0,HEALTHY,0.1437282655811542,-0.0611111111111111,False
D,D2,Cognitive Engagement Level (Bloom's),0.2929292929292929,0.7794909705354315,0.0944444444444444,3,HEALTHY,0.37,0.895924399483785,0.0299999999999999,2,HEALTHY,0.1164334289483535,-0.0644444444444444,False
D,D3,Student-to-Student Interaction,0.0101010101010101,0.97959600081616,0.0099999999999999,1,UNINFORMATIVE,0.23,0.8657995251367813,0.05,3,HEALTHY,-0.1137964756793787,0.04,True
D,D7,Inclusivity of Engagement,0.7878787878787878,0.6867826730840431,0.111111111111111,8,HEALTHY,0.81,0.7592218048733506,0.0899999999999999,6,HEALTHY,0.0724391317893075,-0.0211111111111111,False
F,F1,Content Accuracy,0.0202020202020202,0.9629938014617448,0.0199999999999999,1,UNINFORMATIVE,0.13,0.8879986215214957,0.05,3,HEALTHY,-0.0749951799402491,0.03,True
F,F2,Use of Academic Language,0.6262626262626263,0.7210773906165439,0.09,5,HEALTHY,0.7,0.6475095785440613,0.1399999999999999,6,NOISY,-0.0735678120724825,0.0499999999999999,True
F,F3,Anticipation of Student Misconceptions,0.3232323232323232,0.7481901164620711,0.0799999999999999,5,HEALTHY,0.22,0.8172959805115715,0.08,3,HEALTHY,0.0691058640495003,1.3877787807814457e-17,False
F,F4,Depth of Explanation,0.1616161616161616,0.927060539752006,0.04,1,HEALTHY,0.19,0.9711066165848022,0.0099999999999999,1,HEALTHY,0.0440460768327963,-0.03,False
F,F5,Subject-Specific Pedagogy: MATH,0.5666666666666667,0.6943231441048034,0.1,1,HEALTHY,0.6666666666666666,1.0,0.0,0,HEALTHY,0.3056768558951965,-0.1,False
F,F6,Subject-Specific Pedagogy: SCIENCE,,,,0,UNTESTED,,,,0,UNTESTED,,,False
F,F7,Subject-Specific Pedagogy: LITERACY / LANGUAGE,0.0579710144927536,0.8861441496391176,0.0571428571428571,2,UNINFORMATIVE,0.1857142857142857,0.7952018724400234,0.1,2,HEALTHY,-0.0909422771990942,0.0428571428571428,True
F,F8,Cross-Curricular Connections,0.0101010101010101,0.97959600081616,0.0099999999999999,1,UNINFORMATIVE,0.01,0.97959600081616,0.0099999999999999,1,UNINFORMATIVE,0.0,0.0,False
