framework,cut,section,code,indicator,yes_bar,n_lessons,n_cells,na_rate,pooled_p_met,ci_lo,ci_hi,ac1,kripp_alpha,pairwise_agreement,mean_flip_rate,n_lessons_flipped,n_lessons_met,n_lessons_not,lesson_spread,mean_confidence,votes_needed,p_unstable,p_discriminates,q_unstable,q_discriminates,reliable,discriminates,verdict_class
FICO,native,C,C1,Quality Questioning (Bloom's Aligned),"Mix of recall and some open-ended questions, but they lack depth. E.g., 'Why is the capital important?' without further exploration.",3,30,0.0,0.3333333333333333,0.1923049808367613,0.5121994835545616,1.0,1.0,1.0,0.0,0,1,2,0.5773502691896258,0.8103333333333336,1.0,1.0,3.059023205018265e-07,1.0,3.976730166523737e-06,True,True,HEALTHY
FICO,native,C,C2,Responsive Re-explanation & Adaptive Teaching,Tries a different approach but still teacher-centered.,3,30,0.0,0.6333333333333333,0.4551356365479487,0.7812607919389929,0.2116182572614109,0.1212121212121212,0.5777777777777778,0.3,3,2,1,0.2516611478423583,0.6423333333333335,17.0,1.0678057083488735e-05,0.0653974032298601,0.0003523758837551,0.1961922096895805,False,False,BROKEN
FICO,native,C,C3,Effective Feedback,Feedback given but generic ('try harder'). Specific but does not consistently guide improvement.,3,30,0.0,0.1333333333333333,0.0530965548405474,0.296813266820363,0.7687861271676301,0.2564102564102565,0.8222222222222223,0.1333333333333333,1,0,3,0.2309401076758503,0.7963333333333334,3.0,0.0607715613087434,0.0098983756072038,1.0,0.0395935024288155,True,True,HEALTHY
FICO,native,C,C4,Equitable Participation,Teacher calls on volunteers only. A few students contribute while others stay silent.,3,30,0.0,1.0,0.8864866068260312,1.0,1.0,1.0,1.0,0.0,0,3,0,0.0,0.6133333333333334,1.0,1.0,,1.0,,True,False,UNINFORMATIVE
FICO,native,C,C5,Student Agency & Voice,Occasional student input but teacher-dominated. Multiple perspectives mentioned but not explored.,3,30,0.0,0.4666666666666667,0.3023238890769975,0.638577003801267,0.4100294985250738,0.4246031746031746,0.7037037037037037,0.1999999999999999,2,2,1,0.4163331998932265,0.7076666666666664,7.0,0.0032824855950018,0.0009450377215474,0.105039539040058,0.0047251886077374,True,True,HEALTHY
FICO,native,C,C6,Classroom Management & Routines,Some routines but inconsistently enforced. Instructions lack clarity for all groups.,3,30,0.0,1.0,0.8864866068260312,1.0,1.0,1.0,1.0,0.0,0,3,0,0.0,0.6050000000000002,1.0,1.0,,1.0,,True,False,UNINFORMATIVE
FICO,native,C,C7,Positive & Supportive Learning Environment,Neutral but cold; no encouragement.,3,30,0.0,1.0,0.8864866068260312,1.0,1.0,1.0,1.0,0.0,0,3,0,0.0,0.6513333333333332,1.0,1.0,,1.0,,True,False,UNINFORMATIVE
FICO,native,C,C8,"Modeling, Scaffolding & Problem-Solving",Teacher demonstrates once but moves on quickly. Problem-solving modeled but strategies not explained.,3,30,0.0,1.0,0.8864866068260312,1.0,1.0,1.0,1.0,0.0,0,3,0,0.0,0.613,1.0,1.0,,1.0,,True,False,UNINFORMATIVE
FICO,native,C,C9,Collaborative Learning,Students in groups but working individually. Tasks lack depth.,3,30,0.0,1.0,0.8864866068260312,1.0,1.0,1.0,1.0,0.0,0,3,0,0.0,0.6463333333333334,1.0,1.0,,1.0,,True,False,UNINFORMATIVE
FICO,native,C,C10,Integration of Taleemabad Technology,Technology used as distraction/babysitter.,3,30,0.0,0.0,0.0,0.1135133931739687,1.0,1.0,1.0,0.0,0,0,3,0.0,0.714,1.0,1.0,,1.0,,True,False,UNINFORMATIVE
FICO,native,C,C11,Self & Peer Assessment Facilitation,"Some self- or peer-assessment occurs, but inconsistent. Students assess without clear criteria.",3,30,0.0,0.6666666666666666,0.4878005164454384,0.8076950191632386,1.0,1.0,1.0,0.0,0,2,1,0.5773502691896258,0.6836666666666666,1.0,1.0,3.05902320501826e-07,1.0,3.976730166523737e-06,True,True,HEALTHY
FICO,native,C,C12,Classroom Resources & Space for Collaboration,"Some organization, but space/resources do not fully support collaboration.",3,29,0.0333333333333333,0.6896551724137931,0.5076986576690685,0.8272438325551679,1.0,1.0,1.0,0.0,0,2,1,0.5773502691896258,0.5500000000000002,1.0,1.0,5.043476625678882e-07,1.0,4.539128963110994e-06,True,True,HEALTHY
FICO,native,D,D1,Active Participation Rate,25–50% engaged; many passive or off-task.,3,30,0.0,1.0,0.8864866068260312,1.0,1.0,1.0,1.0,0.0,0,3,0,0.0,0.6123333333333334,1.0,1.0,,1.0,,True,False,UNINFORMATIVE
FICO,native,D,D2,Cognitive Engagement Level (Bloom's),Students completing tasks but without thinking deeply.,3,30,0.0,0.4333333333333333,0.2737748557646652,0.6080269299918639,0.6943231441048034,0.693815987933635,0.8444444444444444,0.1,1,1,2,0.5131601439446883,0.7100000000000002,3.0,0.1878211868530392,2.2010699092137083e-05,1.0,0.0001540748936449,True,True,HEALTHY
FICO,native,D,D3,Student-to-Student Interaction,Students talk but not about content.,3,30,0.0,1.0,0.8864866068260312,1.0,1.0,1.0,1.0,0.0,0,3,0,0.0,0.5733333333333335,1.0,1.0,,1.0,,True,False,UNINFORMATIVE
FICO,native,D,D4,Student Confidence & Risk-Taking,Students answer only when certain; no risk-taking.,3,30,0.0,1.0,0.8864866068260312,1.0,1.0,1.0,1.0,0.0,0,3,0,0.0,0.6016666666666666,1.0,1.0,,1.0,,True,False,UNINFORMATIVE
FICO,native,D,D5,On-Task Behavior During Independent Work,Students start on-task but lose focus quickly.,3,30,0.0,1.0,0.8864866068260312,1.0,1.0,1.0,1.0,0.0,0,3,0,0.0,0.5616666666666669,1.0,1.0,,1.0,,True,False,UNINFORMATIVE
FICO,native,D,D6,Student Use of Learning Materials,"Materials used passively (watching video, holding textbook).",3,30,0.0,1.0,0.8864866068260312,1.0,1.0,1.0,1.0,0.0,0,3,0,0.0,0.5836666666666667,1.0,1.0,,1.0,,True,False,UNINFORMATIVE
FICO,native,D,D7,Inclusivity of Engagement,Teacher attempts inclusion but success is limited.,3,30,0.0,1.0,0.8864866068260312,1.0,1.0,1.0,1.0,0.0,0,3,0,0.0,0.5936666666666667,1.0,1.0,,1.0,,True,False,UNINFORMATIVE
FICO,native,F,F1,Content Accuracy,Mostly accurate but with minor errors or imprecise language.,3,30,0.0,1.0,0.8864866068260312,1.0,1.0,1.0,1.0,0.0,0,3,0,0.0,0.6376666666666666,1.0,1.0,,1.0,,True,False,UNINFORMATIVE
FICO,native,F,F2,Use of Academic Language,Some terms used but not explained or used inconsistently.,3,30,0.0,1.0,0.8864866068260312,1.0,1.0,1.0,1.0,0.0,0,3,0,0.0,0.6343333333333336,1.0,1.0,,1.0,,True,False,UNINFORMATIVE
FICO,native,F,F3,Anticipation of Student Misconceptions,Aware but doesn't address them proactively.,3,30,0.0,1.0,0.8864866068260312,1.0,1.0,1.0,1.0,0.0,0,3,0,0.0,0.588,1.0,1.0,,1.0,,True,False,UNINFORMATIVE
FICO,native,F,F4,Depth of Explanation,Some conceptual explanation but relies on memorization.,3,30,0.0,1.0,0.8864866068260312,1.0,1.0,1.0,1.0,0.0,0,3,0,0.0,0.6293333333333332,1.0,1.0,,1.0,,True,False,UNINFORMATIVE
FICO,native,F,F5,Subject-Specific Pedagogy: MATH,Some visual aids but conceptual understanding not developed.,0,0,1.0,,,,,,,,0,0,0,0.0,0.8823333333333332,,,,,,True,False,UNTESTED
FICO,native,F,F6,Subject-Specific Pedagogy: SCIENCE,Some demonstration but teacher-led; students observe passively.,0,0,1.0,,,,,,,,0,0,0,0.0,0.8886666666666666,,,,,,True,False,UNTESTED
FICO,native,F,F7,Subject-Specific Pedagogy: LITERACY / LANGUAGE,Some reading activities but no explicit strategy instruction.,3,30,0.0,0.9333333333333332,0.7867654163738308,0.9815229762087296,0.8646362098138748,0.0793650793650794,0.8814814814814814,0.0666666666666666,1,3,0,0.1154700538379251,0.6073333333333333,3.0,0.4464579245682128,0.1173191660942507,1.0,0.2346383321885014,True,False,UNINFORMATIVE
FICO,native,F,F8,Cross-Curricular Connections,Occasional reference to other subjects but not developed.,3,30,0.0,0.1666666666666666,0.0733654237184855,0.3356435050641603,0.6205128205128204,0.0462222222222223,0.7259259259259259,0.1666666666666666,2,0,3,0.1527525231651946,0.6983333333333334,5.0,0.015635510128533,0.18637397603941,0.4847008139845252,0.2346383321885014,True,False,UNINFORMATIVE
FICO,2,B,B1,Instructional Clarity & Learning Objectives,Objective mentioned but vague or not referenced during lesson.,3,30,0.0,0.3333333333333333,0.1923049808367613,0.5121994835545616,1.0,1.0,1.0,0.0,0,1,2,0.5773502691896258,0.7856666666666666,1.0,1.0,3.059023205018265e-07,1.0,3.976730166523737e-06,True,True,HEALTHY
FICO,2,B,B2,Lesson Structure & Sequence,Some structure but missing key phases (intro/body/close).,3,30,0.0,1.0,0.8864866068260312,1.0,1.0,1.0,1.0,0.0,0,3,0,0.0,0.6350000000000002,1.0,1.0,,1.0,,True,False,UNINFORMATIVE
FICO,2,B,B3,Activities & Tasks Alignment,Some activities align but others are filler.,3,30,0.0,1.0,0.8864866068260312,1.0,1.0,1.0,1.0,0.0,0,3,0,0.0,0.6576666666666664,1.0,1.0,,1.0,,True,False,UNINFORMATIVE
FICO,2,B,B4,Activation of Prior Knowledge,Brief mention but no student input sought.,3,30,0.0,1.0,0.8864866068260312,1.0,1.0,1.0,1.0,0.0,0,3,0,0.0,0.6379999999999999,1.0,1.0,,1.0,,True,False,UNINFORMATIVE
FICO,2,B,B5,Meaningful & Real-World Connections,Teacher mentions a connection but doesn't develop it.,3,30,0.0,0.6333333333333333,0.4551356365479487,0.7812607919389929,0.8755186721991699,0.861244019138756,0.9333333333333332,0.0333333333333333,1,2,1,0.5507570547286103,0.6713333333333333,1.0,0.7853612360570624,2.12401804907845e-06,1.0,1.69921443926276e-05,True,True,HEALTHY
FICO,2,B,B6,Differentiation / Catering to Learning Levels,Aware of different levels but no adapted tasks.,3,30,0.0,0.4333333333333333,0.2737748557646652,0.6080269299918639,0.6943231441048034,0.693815987933635,0.8444444444444444,0.1,1,1,2,0.5131601439446883,0.6983333333333336,3.0,0.1878211868530392,2.2010699092137083e-05,1.0,0.0001540748936449,True,True,HEALTHY
FICO,2,B,B7,Use of Taleemabad Lesson Plan,Plan open but teacher deviates significantly.,0,0,1.0,,,,,,,,0,0,0,0.0,,,,,,,True,False,NOT_ASSESSABLE
FICO,2,B,B8,Use of Prescribed Resources,Some resources used but not as intended.,0,0,1.0,,,,,,,,0,0,0,0.0,,,,,,,True,False,NOT_ASSESSABLE
FICO,2,B,B9,Time on Task / Time on Learning,50–69% on task (significant management/transition time lost).,3,30,0.0,1.0,0.8864866068260312,1.0,1.0,1.0,1.0,0.0,0,3,0,0.0,0.5890000000000001,1.0,1.0,,1.0,,True,False,UNINFORMATIVE
FICO,2,B,B10,Lesson Closure & Consolidation,Teacher rushes through a brief recap.,3,30,0.0,0.3333333333333333,0.1923049808367613,0.5121994835545616,1.0,1.0,1.0,0.0,0,1,2,0.5773502691896258,0.7629999999999999,1.0,1.0,3.059023205018265e-07,1.0,3.976730166523737e-06,True,True,HEALTHY
FICO,2,C,C1,Quality Questioning (Bloom's Aligned),"Mix of recall and some open-ended questions, but they lack depth. E.g., 'Why is the capital important?' without further exploration.",3,30,0.0,0.3333333333333333,0.1923049808367613,0.5121994835545616,1.0,1.0,1.0,0.0,0,1,2,0.5773502691896258,0.8103333333333336,1.0,1.0,3.059023205018265e-07,1.0,3.976730166523737e-06,True,True,HEALTHY
FICO,2,C,C2,Responsive Re-explanation & Adaptive Teaching,Tries a different approach but still teacher-centered.,3,30,0.0,0.6333333333333333,0.4551356365479487,0.7812607919389929,0.2116182572614109,0.1212121212121212,0.5777777777777778,0.3,3,2,1,0.2516611478423583,0.6423333333333335,17.0,1.0678057083488735e-05,0.0653974032298601,0.0003523758837551,0.1961922096895805,False,False,BROKEN
FICO,2,C,C3,Effective Feedback,Feedback given but generic ('try harder'). Specific but does not consistently guide improvement.,3,30,0.0,0.1333333333333333,0.0530965548405474,0.296813266820363,0.7687861271676301,0.2564102564102565,0.8222222222222223,0.1333333333333333,1,0,3,0.2309401076758503,0.7963333333333334,3.0,0.0607715613087434,0.0098983756072038,1.0,0.0395935024288155,True,True,HEALTHY
FICO,2,C,C4,Equitable Participation,Teacher calls on volunteers only. A few students contribute while others stay silent.,3,30,0.0,1.0,0.8864866068260312,1.0,1.0,1.0,1.0,0.0,0,3,0,0.0,0.6133333333333334,1.0,1.0,,1.0,,True,False,UNINFORMATIVE
FICO,2,C,C5,Student Agency & Voice,Occasional student input but teacher-dominated. Multiple perspectives mentioned but not explored.,3,30,0.0,0.4666666666666667,0.3023238890769975,0.638577003801267,0.4100294985250738,0.4246031746031746,0.7037037037037037,0.1999999999999999,2,2,1,0.4163331998932265,0.7076666666666664,7.0,0.0032824855950018,0.0009450377215474,0.105039539040058,0.0047251886077374,True,True,HEALTHY
FICO,2,C,C6,Classroom Management & Routines,Some routines but inconsistently enforced. Instructions lack clarity for all groups.,3,30,0.0,1.0,0.8864866068260312,1.0,1.0,1.0,1.0,0.0,0,3,0,0.0,0.6050000000000002,1.0,1.0,,1.0,,True,False,UNINFORMATIVE
FICO,2,C,C7,Positive & Supportive Learning Environment,Neutral but cold; no encouragement.,3,30,0.0,1.0,0.8864866068260312,1.0,1.0,1.0,1.0,0.0,0,3,0,0.0,0.6513333333333332,1.0,1.0,,1.0,,True,False,UNINFORMATIVE
FICO,2,C,C8,"Modeling, Scaffolding & Problem-Solving",Teacher demonstrates once but moves on quickly. Problem-solving modeled but strategies not explained.,3,30,0.0,1.0,0.8864866068260312,1.0,1.0,1.0,1.0,0.0,0,3,0,0.0,0.613,1.0,1.0,,1.0,,True,False,UNINFORMATIVE
FICO,2,C,C9,Collaborative Learning,Students in groups but working individually. Tasks lack depth.,3,30,0.0,1.0,0.8864866068260312,1.0,1.0,1.0,1.0,0.0,0,3,0,0.0,0.6463333333333334,1.0,1.0,,1.0,,True,False,UNINFORMATIVE
FICO,2,C,C10,Integration of Taleemabad Technology,Technology used as distraction/babysitter.,3,30,0.0,0.0,0.0,0.1135133931739687,1.0,1.0,1.0,0.0,0,0,3,0.0,0.714,1.0,1.0,,1.0,,True,False,UNINFORMATIVE
FICO,2,C,C11,Self & Peer Assessment Facilitation,"Some self- or peer-assessment occurs, but inconsistent. Students assess without clear criteria.",3,30,0.0,0.6666666666666666,0.4878005164454384,0.8076950191632386,1.0,1.0,1.0,0.0,0,2,1,0.5773502691896258,0.6836666666666666,1.0,1.0,3.05902320501826e-07,1.0,3.976730166523737e-06,True,True,HEALTHY
FICO,2,C,C12,Classroom Resources & Space for Collaboration,"Some organization, but space/resources do not fully support collaboration.",3,29,0.0333333333333333,0.6896551724137931,0.5076986576690685,0.8272438325551679,1.0,1.0,1.0,0.0,0,2,1,0.5773502691896258,0.5500000000000002,1.0,1.0,5.043476625678882e-07,1.0,4.539128963110994e-06,True,True,HEALTHY
FICO,2,D,D1,Active Participation Rate,25–50% engaged; many passive or off-task.,3,30,0.0,1.0,0.8864866068260312,1.0,1.0,1.0,1.0,0.0,0,3,0,0.0,0.6123333333333334,1.0,1.0,,1.0,,True,False,UNINFORMATIVE
FICO,2,D,D2,Cognitive Engagement Level (Bloom's),Students completing tasks but without thinking deeply.,3,30,0.0,0.4333333333333333,0.2737748557646652,0.6080269299918639,0.6943231441048034,0.693815987933635,0.8444444444444444,0.1,1,1,2,0.5131601439446883,0.7100000000000002,3.0,0.1878211868530392,2.2010699092137083e-05,1.0,0.0001540748936449,True,True,HEALTHY
FICO,2,D,D3,Student-to-Student Interaction,Students talk but not about content.,3,30,0.0,1.0,0.8864866068260312,1.0,1.0,1.0,1.0,0.0,0,3,0,0.0,0.5733333333333335,1.0,1.0,,1.0,,True,False,UNINFORMATIVE
FICO,2,D,D4,Student Confidence & Risk-Taking,Students answer only when certain; no risk-taking.,3,30,0.0,1.0,0.8864866068260312,1.0,1.0,1.0,1.0,0.0,0,3,0,0.0,0.6016666666666666,1.0,1.0,,1.0,,True,False,UNINFORMATIVE
FICO,2,D,D5,On-Task Behavior During Independent Work,Students start on-task but lose focus quickly.,3,30,0.0,1.0,0.8864866068260312,1.0,1.0,1.0,1.0,0.0,0,3,0,0.0,0.5616666666666669,1.0,1.0,,1.0,,True,False,UNINFORMATIVE
FICO,2,D,D6,Student Use of Learning Materials,"Materials used passively (watching video, holding textbook).",3,30,0.0,1.0,0.8864866068260312,1.0,1.0,1.0,1.0,0.0,0,3,0,0.0,0.5836666666666667,1.0,1.0,,1.0,,True,False,UNINFORMATIVE
FICO,2,D,D7,Inclusivity of Engagement,Teacher attempts inclusion but success is limited.,3,30,0.0,1.0,0.8864866068260312,1.0,1.0,1.0,1.0,0.0,0,3,0,0.0,0.5936666666666667,1.0,1.0,,1.0,,True,False,UNINFORMATIVE
FICO,2,F,F1,Content Accuracy,Mostly accurate but with minor errors or imprecise language.,3,30,0.0,1.0,0.8864866068260312,1.0,1.0,1.0,1.0,0.0,0,3,0,0.0,0.6376666666666666,1.0,1.0,,1.0,,True,False,UNINFORMATIVE
FICO,2,F,F2,Use of Academic Language,Some terms used but not explained or used inconsistently.,3,30,0.0,1.0,0.8864866068260312,1.0,1.0,1.0,1.0,0.0,0,3,0,0.0,0.6343333333333336,1.0,1.0,,1.0,,True,False,UNINFORMATIVE
FICO,2,F,F3,Anticipation of Student Misconceptions,Aware but doesn't address them proactively.,3,30,0.0,1.0,0.8864866068260312,1.0,1.0,1.0,1.0,0.0,0,3,0,0.0,0.588,1.0,1.0,,1.0,,True,False,UNINFORMATIVE
FICO,2,F,F4,Depth of Explanation,Some conceptual explanation but relies on memorization.,3,30,0.0,1.0,0.8864866068260312,1.0,1.0,1.0,1.0,0.0,0,3,0,0.0,0.6293333333333332,1.0,1.0,,1.0,,True,False,UNINFORMATIVE
FICO,2,F,F5,Subject-Specific Pedagogy: MATH,Some visual aids but conceptual understanding not developed.,0,0,1.0,,,,,,,,0,0,0,0.0,0.8823333333333332,,,,,,True,False,UNTESTED
FICO,2,F,F6,Subject-Specific Pedagogy: SCIENCE,Some demonstration but teacher-led; students observe passively.,0,0,1.0,,,,,,,,0,0,0,0.0,0.8886666666666666,,,,,,True,False,UNTESTED
FICO,2,F,F7,Subject-Specific Pedagogy: LITERACY / LANGUAGE,Some reading activities but no explicit strategy instruction.,3,30,0.0,0.9333333333333332,0.7867654163738308,0.9815229762087296,0.8646362098138748,0.0793650793650794,0.8814814814814814,0.0666666666666666,1,3,0,0.1154700538379251,0.6073333333333333,3.0,0.4464579245682128,0.1173191660942507,1.0,0.2346383321885014,True,False,UNINFORMATIVE
FICO,2,F,F8,Cross-Curricular Connections,Occasional reference to other subjects but not developed.,3,30,0.0,0.1666666666666666,0.0733654237184855,0.3356435050641603,0.6205128205128204,0.0462222222222223,0.7259259259259259,0.1666666666666666,2,0,3,0.1527525231651946,0.6983333333333334,5.0,0.015635510128533,0.18637397603941,0.4847008139845252,0.2346383321885014,True,False,UNINFORMATIVE
HOTS,native,D1,1.1,Open Discussions & Critical Thinking,"Some encouragement for discussions, but student participation is limited and inconsistent.",3,30,0.0,0.0333333333333333,0.0059085903816124,0.1667039099140917,0.9287410926365794,0.0,0.9333333333333332,0.0333333333333333,1,0,3,0.0577350269189625,0.8300000000000002,1.0,0.7853612360570624,0.3554101662347745,1.0,0.710820332469549,True,False,UNINFORMATIVE
HOTS,native,D1,1.2,Resources & Space for Collaboration,"Some organisation, but space/resources do not fully support collaborative tasks.",3,30,0.0,0.6666666666666666,0.4878005164454384,0.8076950191632386,1.0,1.0,1.0,0.0,0,2,1,0.5773502691896258,0.6050000000000001,1.0,1.0,3.059023205018265e-07,1.0,3.3649255255200917e-06,True,True,HEALTHY
HOTS,native,D1,1.3,Complex Tasks with Clear Expectations,"Some students engage in complex tasks, but expectations are not consistently communicated.",3,30,0.0,0.8,0.6269430358685175,0.9049489282271012,0.6296296296296295,0.2391975308641976,0.7481481481481481,0.1999999999999999,2,2,0,0.2645751311064591,0.6513333333333332,7.0,0.0032824855950018,0.0125881422424339,0.0558022551150308,0.0395935024288155,True,True,HEALTHY
HOTS,native,D2,2.1,Objectives Linked to HOTS,Objectives mention higher-order skills but lack detailed alignment with HOTS verbs.,3,30,0.0,0.0,0.0,0.1135133931739687,1.0,1.0,1.0,0.0,0,0,3,0.0,0.8533333333333336,1.0,1.0,,1.0,,True,False,UNINFORMATIVE
HOTS,native,D2,2.2,"Strategies for Analysis, Evaluation & Synthesis",Some activities promote analysis or synthesis but lack variety or depth.,3,30,0.0,0.0,0.0,0.1135133931739687,1.0,1.0,1.0,0.0,0,0,3,0.0,0.8303333333333333,1.0,1.0,,1.0,,True,False,UNINFORMATIVE
HOTS,native,D2,2.3,Real-World Applications,"Some connections to real-world themes, but not fully embedded in activities.",3,30,0.0,0.3333333333333333,0.1923049808367613,0.5121994835545616,1.0,1.0,1.0,0.0,0,1,2,0.5773502691896258,0.7269999999999999,1.0,1.0,3.059023205018265e-07,1.0,3.3649255255200917e-06,True,True,HEALTHY
HOTS,native,D3,3.1,Open-Ended & Thought-Provoking Questions,"Some open-ended questions are asked, but they lack depth. Example: ""Why is the earth round?""",3,30,0.0,0.0,0.0,0.1135133931739687,1.0,1.0,1.0,0.0,0,0,3,0.0,0.8996666666666667,1.0,1.0,,1.0,,True,False,UNINFORMATIVE
HOTS,native,D3,3.2,"Students Analyse, Interpret & Critique","Some analysis and critique are encouraged, but not consistent across the lesson.",3,30,0.0,0.2333333333333333,0.1179238814448949,0.4092832615812216,0.7577854671280276,0.5797101449275361,0.8444444444444444,0.1,1,1,2,0.404145188432738,0.7863333333333337,3.0,0.1878211868530392,0.0001083184798685,1.0,0.0007582293590797,True,True,HEALTHY
HOTS,native,D3,3.3,Teacher Models Problem-Solving & Creativity,"Problem-solving is modelled, but the teacher does not explain strategies or invite students to try.",3,30,0.0,0.0,0.0,0.1135133931739687,1.0,1.0,1.0,0.0,0,0,3,0.0,0.7683333333333334,1.0,1.0,,1.0,,True,False,UNINFORMATIVE
HOTS,native,D3,3.4,Effective Scaffolding,"Some scaffolding provided, but inconsistent. Support does not adjust to student needs.",3,30,0.0,1.0,0.8864866068260312,1.0,1.0,1.0,1.0,0.0,0,3,0,0.0,0.6799999999999998,1.0,1.0,,1.0,,True,False,UNINFORMATIVE
HOTS,native,D4,4.1,Collaboration on HOTS Tasks,"Some collaboration occurs, but tasks lack depth. Students share ideas but don't synthesise.",3,30,0.0,0.8333333333333334,0.6643564949358398,0.9266345762815144,0.7435897435897437,0.3555555555555556,0.8148148148148149,0.1666666666666666,1,2,0,0.2886751345948128,0.6910000000000002,5.0,0.015635510128533,0.0024787521766663,0.2501681620565291,0.0123937608833318,True,True,HEALTHY
HOTS,native,D4,4.2,Multiple Perspectives & Novel Solutions,"Multiple perspectives are mentioned, but exploration is limited. Teacher-led only.",3,30,0.0,0.3333333333333333,0.1923049808367613,0.5121994835545616,1.0,1.0,1.0,0.0,0,1,2,0.5773502691896258,0.7930000000000003,1.0,1.0,3.059023205018265e-07,1.0,3.3649255255200917e-06,True,True,HEALTHY
HOTS,native,D4,4.3,Discussions & Debates on Complex Topics,"Some discussions occur, but only a few students participate actively.",3,30,0.0,0.2,0.0950510717728987,0.3730569641314825,0.738562091503268,0.462962962962963,0.8222222222222223,0.1333333333333333,1,1,2,0.3464101615137754,0.7730000000000001,3.0,0.0607715613087434,0.0005530843701478,0.9115734196311516,0.003318506220887,True,True,HEALTHY
HOTS,native,D5,5.1,Self-Assessment & Peer-Assessment,"Some self- or peer-assessment occurs, but inconsistent. No structured criteria provided.",3,30,0.0,0.3333333333333333,0.1923049808367613,0.5121994835545616,1.0,1.0,1.0,0.0,0,1,2,0.5773502691896258,0.803,1.0,1.0,3.059023205018265e-07,1.0,3.3649255255200917e-06,True,True,HEALTHY
HOTS,native,D5,5.2,Feedback Guiding Reasoning & Improvement,Feedback is specific but does not consistently guide improvement.,3,30,0.0,0.0333333333333333,0.0059085903816124,0.1667039099140917,0.9287410926365794,0.0,0.9333333333333332,0.0333333333333333,1,0,3,0.0577350269189625,0.792,1.0,0.7853612360570624,0.3554101662347745,1.0,0.710820332469549,True,False,UNINFORMATIVE
HOTS,native,D5,5.3,Assessment Tasks Requiring HOTS,Some tasks involve analysis or evaluation but lack depth.,3,30,0.0,0.1333333333333333,0.0530965548405474,0.296813266820363,0.7687861271676301,0.2564102564102565,0.8222222222222223,0.1333333333333333,1,0,3,0.2309401076758503,0.8086666666666666,3.0,0.0607715613087434,0.0098983756072038,0.9115734196311516,0.0395935024288155,True,True,HEALTHY
